input_text,toxicity,severe_toxicity,obscene,threat,insult,identity_hate,time
"LOVE IT LOVE IT LOVE IT!!! Best Mexican food we have had in Arizona yet. We are partial as we just bought in Fountain Hills and its close, but its also small and although lively, never crowded or noisy. The service is friendly and fast and the Mexican style music is great but not too loud. You can easily talk and relax. Loved the guacomole dip and shrimp cocktail and the fried ice cream is fab and big enough for four people!!!",0.000821,0.000112,0.000182,0.000115,0.000171,0.000148,0.00053
"Caught Louis CK here last night...   Beautiful theater... absolutely stunning. It was clean, the staff was really nice, and parking was a breeze. The sound was great, the seats were comfy, and I can't really find anything to complain about. Truly one of the most gorgeous theaters I've seen - down to every detail - it's my new favorite... I love it.   L.O.V.E.  If you twisted my arm and forced me to complain - well, in the lobby where they were serving drinks, the line got a little excessive. It wasn't so bad really - but I tried both of the wine they were selling and I kinda hated them. This is more of a bit of advice for you to booze it up before you get there than it is a complaint. I can't recommend this place enough.",0.026683,0.000272,0.00603,0.000255,0.001258,0.000389,0.000497
"The parking situation is ridiculous, seriously. If you can, walk/bike/bus. It's not worth the energy/effort otherwise.  Another downside? If you don't make 6 figures, dont' plan on buying anything here. Seriously. Nothing lends itself to everyday people. Except for m                   aybe Borders (outside of food options).  My most recent venture there was on a Fri afternoon and it was PACKED and we literally could not eat anywhere without a decent wait and we were starving... so we were stuck.  The bonus is the MoJo, Borders & Paradise there. But nothing else lends itself to my medicore income.",0.013496,0.000113,0.000762,0.000169,0.000641,0.000253,0.000538
"Saw a show here last night. Stage is raised to a proper height, acoustics are pretty decent and the sound system is adequate for live acts. Three trapezoidal speakers flown above the stage provide good coverage and nice clarity. There's a couple of subs tucked beneath the stage. They have some moving lights(mirrors move not heads), and some LED par cans. Monitors are on the stage floor, and are JBLs so they seem decent. If it were up to me, I'd toss about 12 more cans on the front wash and add some side wash. They have the trussing to do it .  Staff is attractive, and friendly. Knowledgeable about the area and eateries too. There's a patio where you can smoke outside, and they have heaters so you don't freeze your *** off. Drinks are reasonably priced for Scottsdale - and they had some good specials last night which ranged from beer to cinnamon whiskey to vodka - so your bases should be covered.  I'd go back. Go early, or good luck parking. Also - note that last night was Christmas week, so even though it was Wednesday tons of cops were out and about, pulling over all kinds of people as they left Old Town Scottsdale. So word to the wise - Don't Drink and Drive.",0.028502,0.000269,0.007549,0.000291,0.00174,0.000376,0.000573
"Verde = good, quick, close-by & cheap = YAY!!!! So...We went for breakfast last week and here is the result: green chili pork: Delish!!! Tortillas: Delish!! Eggs: Yuck!! Guacamole: Good!! The breakfast eggs are the 'fake eggs' - you know the ones that come in a pourable carton...honestly a little disappointing, because 2 sunny-side up eggs wouldve been muy bueno!! but everything else was on-point so i just wont order eggs again! :) we also ordered take-out this week: the whole lime-oregano rotisserie chicken it was MUY DELISH!!! This is not your grocery store rotisserie - the flavor was amazing!! the whole fam luved it and devoured it - Verde will be my new go to when i dont want to cook dinner or when i need a quick lunch!",0.037685,0.000184,0.002715,0.000377,0.001828,0.000667,0.000527
Great happy hour specials.  All the appetizers are delicious!  Service is first rate and it's nice to sit outside on the patio.  Great people watching without being too obnoxious!  LOL,0.008288,0.0001,0.000409,0.000133,0.000507,0.000253,0.00049
"Spring Rolls - Great!  Singapore Noodles - Great!  Hot & Sour Soup - not so great - I have never had a hot and sour soup so dark!  Although the hot was hot and the sour, was sour - a little bit goes a very long way!  Definitely going back again, just skipping the hot & sour soup next time.",0.001175,9.7e-05,0.000172,0.000107,0.000194,0.000151,0.00049
"I have been to this place many times and the food and service is always great. I am so excited to have found a place where I can get freshly made, good food out here in Queen Creek. My favorite is their home made mozzarella cheese. Its great on anything. I frequently order the tomato, basil and Mozzarella pizza and I recently discovered their vegetarian plate which was delicious. The staff is very friendly and the atmosphere is casual and comfortable. Don't forget to save room for the amazing ice cream they have.",0.000553,0.000132,0.000178,0.000138,0.000172,0.000149,0.00052
"Love the shows the promoters bring in. Cozy spot where I've seen Owl City, A Fine Frenzy, Landon Pigg and more. Plus they are generous with the Malibu Rum :) You will need to visit the bar to get your own as I've never really seen cocktail servers. Oh well...   Atmosphere is laid back, chill. A large patio. And yes, the Shaker Room. The hot, shake your stripper ass, place to be.",0.576826,0.0033,0.4625,0.000941,0.102155,0.002628,0.000527
"If you are in the mood for pizza this is possibly the best pizza, no it is the best pizza that I have had thus far from tempe.  This is a five star if Tempe was the only place in arizona.  They have amazing pizza that does not taste like a piece of hot cardboard with tomato past and a sad excuse for cheese.  Unlike other pizza places the owners are some real italians and keeps the company in the family.  Recommendation: To anyone living in tempe and enjoys a REAL pizza.",0.000883,0.000108,0.000176,0.000109,0.000185,0.000155,0.000524
"Since this was a little local spot I always passed, I decided to give it a try one day. The décor is so beyond needing an update, it needs a complete makeover. If you had Mr. Ramsey visit, he would say, ""Oh God...what were you thinking"". The location is great and I think that the restaurant has potential to do better than it is. The prices were about average in comparison to other breakfast restaurants in the area and the menu had a wide selection of breakfast goodies. The food was extremely average...I would have to compare it to the quality and creativity of Denny's. Nothing special, and for $30.00 for breakfast for two...I would not go back. There are so many great restaurants in the area and I like to support local business but this place just needs to start from scratch to make it great.",0.000597,0.000123,0.000183,0.000125,0.000171,0.000138,0.00056
"I can't think of a better Thai rest. In PHX. Consistently good food and service.  They have Thai staples like rice paper rolls, Tom Ka Gai and Pad Thai as well as more creative items such as Crispy Mango Fish. Average Thai food pricing, free parking.  There are a good number of tables, so don't let a short line dissuade you.  Like any rest., scope your table before you sit to be sure it suits your mood.  Boisterous din in the main room when busy.",0.001337,0.000101,0.000182,0.000115,0.0002,0.000165,0.00052
"Soft opening, so still working out the kinks. Food was deelish.  Scallop poppers- crispy and spicy; not at all greasy Honey chicken-a little sticky but so good Teriyaki chicken-subtler than other places' teriyaki, but much better flavor and chicken was tender ""tootzi"" roll- bursting with flavor and rolled perfectly Nice touches with cucumber water, upscale Asian decor, unique glasses, menus, plates, etc. Will definitely be back.",0.002351,9.9e-05,0.000273,0.000102,0.000251,0.000193,0.000546
"What can I say except that Jodi is incredible. I had purchased an online deal because I've always wanted to do something like this and thought it to be a great gift for my other half. I sent her a message and she quickly responded. Almost everything I needed to know for the shoot was emailed to me. You have the opportunity to do your own hair and makeup or have someone she works with do it at a reasonable rate. I highly recommend that you get it done by her ladies. That day I saw Erica. She was really fun and got me into the mood (the glass of wine helped too :-) ) and she did an incredible job with the makeup and hair. For those who feel a little nervous I do recommend bringing some wine along with you. It really loosens you up a bit and allows you to be more comfortable. It was perfect since my first photos were the nude shots. Note: wear loose fitting clothing, nothing elastic and be sure that you do not have a sunburn on your body. Let your hair air dry and it is OK to put on your own serums and moisturizers prior to the shoot. Make sure nothing with sunscreen gets on your face and while it's not necessary, I made sure to use a primer. I thought it really helped out with how my makeup set. Be prepared to pose in positions that may be a bit awkward and also note that you will likely be sore the next day from the different twisting that you have to do. Jodi really knows how to make you feel comfortable and at ease. I don't make a habit of being in the buff in front of complete strangers and for me to drop my robe without feeling shy was a big deal for me. It helped that I had my own music mix on my iPod throughout the entire shoot as well. The overall whole experience was incredible. I felt sexy and confident. I went back with my honey to look at the photos. He really really liked them and had a hard time choosing which he wanted to go into the album. I can't wait to see everything finished. I can't wait to do it again :) Thank you Jodi for making it such a memorable experience. I highly recommend her and her ladies!!!",0.005247,0.000106,0.000382,0.000169,0.000388,0.000224,0.000557
My car looks better than it did the day I bought it!,0.0008,0.00011,0.000179,0.00011,0.000182,0.000138,0.000564
"Quick update for Mama Java's since we had the Yelp Office Hours there last week... we lucked out and were able to take over the couch / chairs to the right when you walk in the door.  It worked out perfectly!    Even though I hadn't been in to MJ in a couple of months, Jensy remembered that I drank a soy latte - incredible!  I felt so special (almost like a regular) when I walked in and she greeted me and asked if I wanted a soy latte!  I did, and it was just as good as last time!  The atmosphere provided the perfect place for the yelpers to come and go, chat, etc... I think everyone felt comfortable and welcome.  Thanks again to all of you who came by to visit!  Looking forward to the next time...   Lastly, MJ created a yelper special of the day... the ""hold me closer tiny yelper' which i believe was a vanilla cinnamon latte.  Now if that didn't make us feel special, what does?!",0.001271,0.000102,0.000205,0.000118,0.000212,0.000141,0.00052
"What are you all talking about?! This place is awful. Theres a reason why these sandwiches are $3. I can't believe so many people like this place, (although the place was filled with the Chinese people and they have been known to have different taste buds ) You get a 10 inch piece of bread with a bunch of stringy cheap vegetables. From what they said, there was meat on there too,  however i forgot to bring my microscope to verify if there was any on there. This place is like a middle school cafeteria smack dab in the heart of Tokyo's slums (i don't know any Vietnamese cities). Please, homeless people, save your quarters, you're too good for this place. They have good milkshakes, but if you really are homeless (as you should be if you're going to Lee's) you shouldn't be buying ""rich people"" milk shakes anyways, stick with the dollar menu.",0.020794,0.000136,0.000594,0.000229,0.000964,0.00069,0.000561
Great multigrain sandwiches. Nice patio too!,0.000773,0.000111,0.00018,0.000114,0.000182,0.000142,0.000554
"This was the first and only Thai place I've been to in AZ.  Overall, it is pretty good.  I think we will probably try a new place next time but if we can't find anything better, I think we won't have any problem going back to Swaddee.  *Price = on the high-end  *Pad Thai = pretty good volume *Green Curry = very good. *Garlic delight = The portion is way too small to charge $11",0.000619,0.000122,0.000177,0.000127,0.000173,0.000145,0.000545
"I love this place, sure its kinda creepy and in the middle of an odd office complex but DAMN those donut holes chocolate cake not the glazed ones are good!  Not to mention the NINJA BOWLS!!  Good God get the Sizzling ninja, top that off with a fried egg, and pineapple, get healthy with some brown rice and white chicken and then DRENCH that bowl with NINJA SAUCE AND SRIRACHA (which comes standard btw) AMAZING! Don't waste your life away without having one of these ninja bowls at this donut shop, i never thought i would be able to say that statement with a straight face but i did!  And for those wondering they don't serve pirates (some will understand this fact)  Also if you come back a few times they might throw some free donut holes at YOUR FACE LIKE NINJA STARS!!  I joke they don't throw them but you may get some for free (really though)!",0.536236,0.003377,0.201457,0.005953,0.062786,0.009416,0.000519
"First thing - I felt compelled to write a review because the Android and Ipad app both state that Mokis is closed. If you are doing a mobile Yelp for this place, it is most defiantly open.  Second, I decided to give them a try for an early Friday dinner, about 5 in the evening. There were a few people dining in the restaurant, and quite a few people on staff for the evening. The dining room is pretty well decorated, more so than I thought it would be, giving a faux Hawaiian feel to it. Seeing some people there at that time gave me hope for a good meal.  I asked the lady manning the counter what was good, and she took a bit of time to walk me through the menu. Emphasizing the plate lunches, I decided to try the Combo that would get me the most variety. I elected for terriyaki beef and kalua pork. I took the side of the 'potato mac' and got my meal to go.  Arriving home, my meal sat for about 5 minutes before I had it unboxed and ready to enjoy. Considering that fact, everything was in pretty good condition. The potato mac was a bit more room temperature than cold, but that was my own doing. The rice stayed warm, the pork moist and really flavorful, and the beef sweet and tender.  Having dined at a few places offering plate lunches in the past, the potato mac was probably what sold me as much as the meats on why I'll return. Potato mac's tend to have a pretty flat flavor, and when I find out how Hawaiian's garnish them, I will be excited to get some more flavor in them. But it was just the right amount of dry ... I've had many potato mac's that are just too wet, but this felt about perfect.  I'll give the fish dishes a try in the future and report on those. But I really enjoyed what I experienced and well give it a second (and probably more) pass.",0.000738,0.00012,0.0002,0.000118,0.000181,0.000152,0.00052
No good,0.00405,0.000101,0.000334,0.0001,0.00027,0.000169,0.00052
"This might be a good way to kill time if you're near the airport, the food really wasn't that great. It tasted cheap and like it had been sitting there for a very long time. I had the caldo 7 mares and it was lukewarm, wayyy too salty, and the shrimp were mushy. It was pretty gross. The carne asada tacos were mostly gristle, and I couldn't really taste my enchilidas with the thick blanket of sour cream over them. For $20, I could've gotten much better Mexican food somewhere else.",0.001994,0.000115,0.000308,0.000116,0.000237,0.000207,0.000517
"This place is very cool and laid back.  Apparently Unlce Bear was someone's dog b/c there are dog pics plastered all over this place.  If you are a dog or even a pet lover in general you would appreciate the decor/vibe of this grill/bar.  It is literally a ""throw your peanut shells on the floor"" joint (they come served in a dog dish) with very cold beer on tap and an eclectic mix of people that dine here.  The Gilbert location is a bit more conservative versus the East Mesa spot.  People in Gilbert seem to think it's ok to bring their small children to bars!   I am a huge fan of the BBQ chicken quesadilla (or you can get it served as a pizza).  I really haven't tried much else on the menu b/c I can't seem to stray from my BBQ chicken; It is yummy and when I lived in the east Valley I would dine there about once a week.",0.004857,0.000114,0.000425,0.000133,0.000399,0.000253,0.000538
"the folks at national car rental were very accommodating and even helped me upgrade my rental at little cost to me.  if the deal was right, i would definitely use this company again when visiting Phoenix!",0.000581,0.000127,0.000181,0.000137,0.000182,0.00014,0.000519
"I had always heard great things about Pita Jungle, but it wasn't until a recent visit there that I became a believer. Really great food for a reasonable place!",0.000583,0.000128,0.000181,0.000126,0.000176,0.000148,0.000519
"If your boyfriend is a baseball player and is in Spring training.... Watch out for the heat...as it gets SOOO HOOOOOT and SOOOO DRY...... i literally had to stand with my legs apart and my hands on my waist to air what needs to be aired.  Yup. Support thy boyfriend..... I can't wait to come back here this May for Minor League Spring training! I probably will be wearing a bikini and a see through dress.   But really..I've never seen fields so well managed here... I've only been to where the Royals practice....and It's quite amazing! This May, i'd definitely see games at the Texas side.",0.008611,0.000105,0.000632,0.000172,0.000443,0.000201,0.000483
"Mucho Taco falls closer to 2.5 stars-average.  The prices are very good and the staff was very friendly.  Let me start with some positives:  the salsa was fresh and tasty as in these were whole tomatoes 5 minutes ago.  veggies on the tacos were also fresh and crisp.  I had a fish taco & a carnitas taco-total about $4.50.  The fish was decent but the carnitas was pretty gristly.  I overheard the kitchen staff talking to a customer and found out that they make liberal use of the ""L"" word here.  That's right, old school cookin' for better or worse; Lard.",0.001217,9.8e-05,0.000206,0.000102,0.0002,0.000149,0.000482
I was very happy with the food and service. The service was wonderful and quick too.,0.000511,0.000145,0.000206,0.000141,0.000182,0.000149,0.00048
"Did you know that Malee's on Main offers cooking classes!?  They offer them twice a month during tourist season and once per month during the rest of the year.  I attended two weeks ago, and it was OUTSTANDING!  Not only did we learn to cook Thai (which, incidentally, it was significant to learn that Thai gets its flavor by layering is sauces), but we were given the recipes for some of the signature dishes, served tastings, a meal, and wine pairings, and we were even given goody bags.  It was a great way to spend a Saturday afternoon with another foodie!",0.000897,0.000108,0.000176,0.000112,0.00019,0.000145,0.000599
i love the $5 happy hours. all the dishes are a great value and delicious!,0.000597,0.00013,0.00019,0.000139,0.000175,0.000144,0.000856
This is my first time back in years. It will be my last. I was in the bar area for lunch it was almost 1hour 25 min before I could get out. Ten min before my drink order and almost as long before food order. A secound drink forget it. Guy next to me walked out.,0.005793,0.000116,0.000591,0.000173,0.000355,0.00019,0.000555
"After a day full of meetings, I gathered the hubster and we headed out to eat some Mexican. I had visions of chips/salsa, and margaritas. We headed to On the Border on Stapley near Baseline but found that this location had closed. Egads. Then we remembered The Salty Senorita across the street. And thus begins the saga. ""Hi, are you here for happy hour?"". We said no but were seated in the bar area anyway. At least we got a booth. Lucky us, huh? Joe ""lots of product in his hair"" brought us menus and took our drink orders. He was pushing a certain type of Tequila and I took the bait, with the stipulation ""on the rocks with salt"". My drink, and hubster's water arrived and we ordered. The chips and salsa AND our dinners arrived at the same time. .Really Joe product??? Chips with the meal? FYI, chips and salsa here aren't complimentary, you have to order and pay for them. It was then we noticed ants had taken over our table. At first we thought it was just a couple but noooooooo. The hubster brought the ants to the attention of Joe product and he feigned concern but did not offer to sit us at another table. Now the hubster's getting annoyed. It's hard to enjoy yourself when you are swashing ants off the table. Our booth was by a window but we didn't see any influx from the window of ants, so we're not sure where they are coming from, but they don't stop. Hubster mentions it a second time, and then, again with feigned concern he offers to move us to a different table. By this time we are almost done eating and I just say let's finish and get the hell out of dodge. Our bill comes, we pay, and hubster asks for the manager. Hell, he's even younger than Joe Product and looks like he just woke up, thus we'll call him Bed Head. Bed Head offers to buy us a drink on the house? Really? That's your solution? He said he'd make sure other patrons aren't seated in this area. Egads, no thanks, we just wanted to leave. We weren't after free food, but the offer of 10% off or some kind of compensation for sharing our entire meal with ants would have been appreciated. A free drink? Hey,maybe one of those $60.00 margaritas would have made everything alright! As far as the food goes-I had the chicken antchiladas (get it, lol) with beans and rice and they were dry. I like my enchiladas with oodles of sauce and cheese, and these had very little sauce with a little design of sour cream on them. Hubster had a steak and avocado salad. He said it was ok.  This is a never return place for us.  And a note to Joe Product-chips and salsa should have arrived WITH the drinks, and before the meal.Reflecting back, we were there on Earth day so perhaps having ants share our meal was relevant. The margarita gets a 7 out of 10 limes as it was pretty good.",0.012634,0.000211,0.002183,0.000213,0.001221,0.000421,0.000595
"Went here Sunday for the Rockies vs Dodgers game. We got some great free seats just to the left of home plate. Love the awning that provides lots of shade to people who just want to watch the game from the top of the seat section.   I heard that the game was sold out, but it looked maybe 75% full. Parking wasn't too bad for us. We actually parked maybe 4 lanes away from the stadium. The food was ok. This place just didn't have the spring training feel l've come to love.   This really is too far of a drive for me and I truly love the vibe and energy I get from the crowds at older stadiums like Phoenix Muni and Tempe Diablo and even Hohokam and Scottsdale. This just didn't seem to compare.",0.000591,0.000128,0.000194,0.000127,0.000171,0.000145,0.000573
